coin,fundingRate,premium,time
SOL,-0.0001022985,-0.0011183876,1686337200050
SOL,-0.0001283038,-0.0013264301,1686340800107
SOL,-0.0000924559,-0.001039647,1686344400045
SOL,-0.0000849306,-0.000979445,1686348000137
SOL,-0.0000989132,-0.0010913059,1686351600007
SOL,-0.000118267,-0.0012461357,1686355200089
SOL,-0.0000499764,-0.0006998111,1686358800046
SOL,0.0000125,-0.0001785965,1686362400029
SOL,-0.0000294041,-0.0005352325,1686366000021
SOL,-0.0000250758,-0.0005006064,1686369600061
SOL,-0.0001964058,-0.0018712467,1686373200110
SOL,-0.0000943193,-0.0010545541,1686376800102
SOL,-0.0001615283,-0.0015922267,1686380400262
SOL,-0.0000974874,-0.0010798995,1686384000047
SOL,-0.000091523,-0.0010321842,1686387600062
SOL,-0.000089634,-0.0010170723,1686391200106
SOL,-0.0000624805,-0.0007998439,1686394800009
SOL,-0.0000845906,-0.0009767248,1686398400056
SOL,-0.0001158835,-0.0012270678,1686402000157
SOL,-0.0000498228,-0.0006985822,1686405600091
SOL,-0.0000503679,-0.0007029432,1686409200086
SOL,-0.0000955598,-0.0010644787,1686412800155
SOL,-0.0000080542,-0.0003644337,1686416400157
SOL,0.0000046195,-0.000263044,1686420000161
SOL,-0.0000802414,-0.0009419312,1686423600337
SOL,-0.0001055742,-0.0011445938,1686427200442
SOL,-0.0000625296,-0.0008002364,1686430800309
SOL,-0.0000331382,-0.0005651059,1686434400292
SOL,-0.0000636245,-0.0008089961,1686438000089
SOL,-0.0000653535,-0.0008228281,1686441600098
SOL,-0.0001517993,-0.0015143942,1686445200065
SOL,-0.0001871213,-0.0017969705,1686448800067
SOL,-0.0002052411,-0.0019419287,1686452400083
SOL,-0.0001898281,-0.0018186249,1686456000382
SOL,-0.0001282853,-0.0013262822,1686459600342
SOL,-0.0000508203,-0.0007065622,1686463200216
SOL,-0.0000331782,-0.0005654253,1686466800178
SOL,-0.0001036585,-0.0011292676,1686470400036
SOL,-0.0001261528,-0.0013092224,1686474000438
SOL,-0.0001041893,-0.0011335143,1686477600111
SOL,-0.0000897883,-0.0010183064,1686481200054
SOL,-0.000089511,-0.0010160882,1686484800423
SOL,-0.0000821524,-0.0009572194,1686488400320
SOL,-0.000108779,-0.0011702316,1686492000006
SOL,-0.0000973019,-0.001078415,1686495600354
SOL,-0.0000833694,-0.0009669553,1686499200003
SOL,-0.0000947546,-0.0010580367,1686502800001
SOL,-0.0000290754,-0.0005326032,1686506400003
SOL,0.000006912,-0.0002447041,1686510000059
SOL,0.0000039159,-0.0002686724,1686513600204
SOL,-0.0000858759,-0.0009870072,1686517200014
SOL,-0.0001142966,-0.0012143726,1686520800072
SOL,-0.0001315415,-0.0013523317,1686524400083
SOL,-0.0001349168,-0.0013793345,1686528000110
SOL,-0.0001510631,-0.0015085045,1686531600059
SOL,-0.0001495258,-0.0014962064,1686535200075
SOL,-0.0001729032,-0.001683226,1686538800432
SOL,-0.000121709,-0.0012736716,1686542400031
SOL,-0.000084382,-0.0009750557,1686546000201
SOL,-0.0000694297,-0.0008554377,1686549600188
SOL,-0.0000785221,-0.0009281768,1686553200016
SOL,-0.0000701666,-0.0008613326,1686556800170
SOL,-0.0000606845,-0.0007854762,1686560400004
SOL,-0.0000389828,-0.0006118624,1686564000034
SOL,-0.0000340985,-0.0005727883,1686567600043
SOL,-0.0000375854,-0.000600683,1686571200074
SOL,-0.0000411992,-0.0006295937,1686574800419
SOL,-0.0000921497,-0.0010371974,1686578400033
SOL,-0.0001136439,-0.0012091509,1686582000276
SOL,-0.0001066338,-0.0011530704,1686585600061
SOL,-0.0001242771,-0.0012942167,1686589200011
SOL,-0.0001371593,-0.0013972746,1686592800257
SOL,-0.0001674169,-0.0016393354,1686596400051
SOL,-0.0001336622,-0.0013692979,1686600000302
SOL,-0.0001383629,-0.0014069029,1686603600061
SOL,-0.0001396077,-0.0014168613,1686607200045
SOL,-0.0001511697,-0.0015093577,1686610800043
SOL,-0.0001527221,-0.0015217766,1686614400002
SOL,-0.0001613636,-0.0015909092,1686618000232
SOL,-0.0001635242,-0.0016081938,1686621600075
SOL,-0.0001352697,-0.0013821579,1686625200235
SOL,-0.0001262764,-0.0013102111,1686628800063
SOL,-0.0001203643,-0.0012629147,1686632400076
SOL,-0.0001021802,-0.0011174415,1686636000327
SOL,-0.0001058093,-0.0011464748,1686639600364
SOL,-0.0000916318,-0.0010330546,1686643200051
SOL,-0.000086477,-0.0009918163,1686646800206
SOL,-0.0001176364,-0.0012410911,1686650400024
SOL,-0.0001127934,-0.0012023471,1686654000130
SOL,-0.0000985863,-0.0010886903,1686657600055
SOL,-0.0001063396,-0.0011507165,1686661200038
SOL,-0.0000868127,-0.0009945017,1686664800288
SOL,-0.0000844295,-0.0009754361,1686668400345
SOL,-0.0001153748,-0.0012229986,1686672000459
SOL,-0.0001305666,-0.0013445325,1686675600086
SOL,-0.0001221293,-0.0012770345,1686679200427
SOL,-0.0000776023,-0.0009208184,1686682800084
SOL,-0.0000913222,-0.0010305776,1686686400071
SOL,-0.0000659424,-0.0008275392,1686690000155
SOL,-0.0000834143,-0.0009673144,1686693600143
SOL,-0.0000786266,-0.0009290125,1686697200103
SOL,-0.0000589753,-0.0007718026,1686700800130
SOL,-0.0000663716,-0.0008309725,1686704400103
SOL,-0.0000220328,-0.0004762624,1686708000172
SOL,-0.0000339267,-0.0005714136,1686711600120
SOL,-0.0000342635,-0.0005741081,1686715200042
SOL,-0.0000270403,-0.000516322,1686718800158
SOL,-0.000030526,-0.0005442079,1686722400156
SOL,-0.0000426125,-0.0006409003,1686726000038
SOL,-0.0000416652,-0.0006333219,1686729600419
SOL,-0.0000274054,-0.000519243,1686733200416
SOL,-0.0000199969,-0.0004599753,1686736800013
SOL,-0.0000222223,-0.0004777788,1686740400133
SOL,-0.0000150938,-0.0004207505,1686744000195
SOL,-0.0000122587,-0.0003980697,1686747600070
SOL,-0.000018324,-0.0004465923,1686751200144
SOL,-0.0000297483,-0.0005379867,1686754800068
SOL,-0.0000435303,-0.0006482426,1686758400298
SOL,-0.0000208686,-0.0004669487,1686762000012
SOL,-0.0000164603,-0.0004316822,1686765600338
SOL,0.0000032193,-0.0002742459,1686769200261
SOL,-0.0000193079,-0.0004544635,1686772800061
SOL,-0.0000326046,-0.0005608365,1686776400121
SOL,-0.0000142916,-0.000414333,1686780000206
SOL,0.000001772,-0.000285824,1686783600104
SOL,-0.0000128398,-0.0004027188,1686787200065
SOL,-0.0000129711,-0.0004037688,1686790800191
SOL,-0.0000225763,-0.0004806107,1686794400166
SOL,-0.000066487,-0.0008318956,1686798000003
SOL,-0.0001272332,-0.0013178656,1686801600143
SOL,-0.000102734,-0.0011218719,1686805200129
SOL,-0.0001117789,-0.0011942316,1686808800070
SOL,-0.0000897031,-0.0010176248,1686812400043
SOL,-0.0000754229,-0.0009033835,1686816000059
SOL,-0.0000633865,-0.0008070922,1686819600001
SOL,-0.0000558289,-0.0007466315,1686823200114
SOL,-0.0000518156,-0.0007145252,1686826800150
SOL,-0.0000145816,-0.0004166526,1686830400113
SOL,0.0000125,-0.0000760221,1686834000060
SOL,0.0000125,-0.0001098284,1686837600169
SOL,0.0000125,-0.0001730847,1686841200037
SOL,0.0000041268,-0.0002669859,1686844800082
SOL,0.0000008089,-0.0002935287,1686848400181
SOL,-0.0000071292,-0.0003570335,1686852000061
SOL,0.0000125,-0.0001262987,1686855600138
SOL,0.0000081599,-0.0002347209,1686859200087
SOL,-0.0000082674,-0.0003661389,1686862800184
SOL,-0.0000167055,-0.0004336439,1686866400161
SOL,-0.000021991,-0.0004759277,1686870000091
SOL,-0.0000232243,-0.0004857942,1686873600016
SOL,0.0000020504,-0.0002835965,1686877200117
SOL,-0.0000188172,-0.0004505373,1686880800014
SOL,-0.0000041368,-0.0003330941,1686884400154
SOL,-0.0000177689,-0.0004421513,1686888000030
SOL,-0.0000153565,-0.0004228523,1686891600216
SOL,-0.0000089812,-0.0003718496,1686895200209
SOL,-0.0000267542,-0.0005140339,1686898800108
SOL,-0.0000131338,-0.0004050702,1686902400181
SOL,-0.0000068242,-0.0003545935,1686906000086
SOL,-0.0000141352,-0.0004130814,1686909600118
SOL,-0.0000286411,-0.0005291287,1686913200496
SOL,0.0000009661,-0.0002922709,1686916800005
SOL,-0.0000092186,-0.0003737487,1686920400472
SOL,-0.0000231108,-0.0004848862,1686924000155
SOL,-0.0000795848,-0.0009366787,1686927600164
SOL,-0.0000003273,-0.0003026186,1686931200039
SOL,0.0000125,-0.0000672038,1686934800109
SOL,0.0000125,0.0000369452,1686938400049
SOL,0.0000125,0.0000676797,1686942000574
SOL,0.0000125,0.0000788811,1686945600020
SOL,-0.0000238064,-0.0001904508,1686949200129
SOL,-0.0000324863,-0.0002598903,1686952800105
SOL,-0.0000122911,-0.0000983286,1686956400106
SOL,-0.0000072572,-0.0000580579,1686960000166
SOL,-0.0000188599,-0.0001508789,1686963600148
SOL,-0.0000183213,-0.0001465704,1686967200128
SOL,-0.0000279045,-0.0002232357,1686970800070
SOL,-0.00001255,-0.0001003999,1686974400073
SOL,0.0000061731,0.0000493846,1686978000241
SOL,0.0000728011,0.0005824091,1686981600074
SOL,0.0000870834,0.0006966675,1686985200099
SOL,0.0000152907,0.0001223256,1686988800026
SOL,0.0000037288,0.0000298306,1686992400194
SOL,-0.0000086431,-0.000069145,1686996000010
SOL,-0.0000023824,-0.0000190596,1686999600155
SOL,0.00000726,0.0000580803,1687003200180
SOL,0.0000107367,0.0000858939,1687006800083
SOL,0.0000011755,0.000009404,1687010400161
SOL,0.0000106101,0.0000848811,1687014000213
SOL,0.0000211197,0.0001689577,1687017600022
SOL,-0.0000057174,-0.0000457393,1687021200141
SOL,-0.000019147,-0.0001531762,1687024800129
SOL,-0.0000187414,-0.0001499314,1687028400006
SOL,0.0000191393,0.0001531142,1687032000027
SOL,-0.0000113209,-0.0000905672,1687035600085
SOL,-0.0000189579,-0.0001516635,1687039200122
SOL,-0.0000179911,-0.0001439286,1687042800314
SOL,-0.0000177699,-0.0001421589,1687046400182
SOL,0.0000048206,0.0000385648,1687050000315
SOL,-0.0000119551,-0.0000956404,1687053600176
SOL,-0.0000067192,-0.0000537537,1687057200073
SOL,-0.0000365077,-0.0002920616,1687060800018
SOL,-0.0000304934,-0.0002439474,1687064400034
SOL,-0.0000147643,-0.0001181141,1687068000006
SOL,-0.000013816,-0.0001105282,1687071600009
SOL,-0.000003946,-0.0000315677,1687075200002
SOL,-0.0000181023,-0.0001448184,1687078800081
SOL,-0.0000091791,-0.0000734328,1687082400070
SOL,-0.0000252922,-0.0002023373,1687086000093
SOL,-0.0000202435,-0.0001619477,1687089600171
SOL,-0.0000123252,-0.0000986019,1687093200011
SOL,-0.0000009302,-0.0000074419,1687096800116
SOL,0.0000045908,0.0000367263,1687100400096
SOL,-0.0000199983,-0.0001599866,1687104000155
SOL,-0.0000153046,-0.0001224369,1687107600072
SOL,-0.0000330368,-0.0002642947,1687111200129
SOL,-0.0000341395,-0.0002731163,1687114800004
SOL,-0.0000321114,-0.0002568909,1687118400075
SOL,0.0000306966,0.0002455726,1687122000206
SOL,0.0000122817,0.0000982539,1687125600063
SOL,-0.0000058931,-0.0000471449,1687129200137
SOL,-0.0000014059,-0.0000112476,1687132800040
SOL,-0.0000250443,-0.0002003543,1687136400182
SOL,-0.000017532,-0.0001402557,1687140000192
SOL,-0.0000280958,-0.0002247661,1687143600031
SOL,-0.0000293909,-0.0002351269,1687147200204
SOL,-0.0000105516,-0.0000844129,1687150800115
SOL,-0.0000148139,-0.0001185108,1687154400108
SOL,-0.000018217,-0.0001457359,1687158000048
SOL,-0.0000264339,-0.0002114709,1687161600117
SOL,-0.000021849,-0.0001747922,1687165200180
SOL,-0.0000237305,-0.0001898437,1687168800057
SOL,-0.0000183474,-0.0001467793,1687172400151
SOL,-0.0000171674,-0.0001373394,1687176000100
SOL,-0.0000170154,-0.000136123,1687179600149
SOL,-0.0000071163,-0.0000569308,1687183200085
SOL,-0.0000080594,-0.0000644755,1687186800094
SOL,-0.000030681,-0.0002454478,1687190400167
SOL,-0.0000407992,-0.0003263936,1687194000197
SOL,-0.0000289782,-0.0002318256,1687197600087
SOL,-0.000022699,-0.0001815923,1687201200124
SOL,-0.0000250224,-0.0002001789,1687204800202
SOL,-0.0000344433,-0.000275546,1687208400028
SOL,-0.0000501804,-0.000401443,1687212000136
SOL,-0.0000389051,-0.0003112407,1687215600183
SOL,-0.0000260339,-0.0002082711,1687219200095
SOL,0.0000079765,0.0000638118,1687222800146
SOL,0.0000003581,0.0000028649,1687226400150
SOL,-0.0000036469,-0.0000291755,1687230000213
SOL,-0.0000451765,-0.0003614116,1687233600075
SOL,-0.0000314126,-0.0002513009,1687237200082
SOL,-0.0000127012,-0.0001016094,1687240800171
SOL,-0.0000208622,-0.0001668974,1687244400077
SOL,-0.0000223834,-0.0001790674,1687248000101
SOL,-0.0000138987,-0.0001111892,1687251600076
SOL,-0.0000169884,-0.000135907,1687255200051
SOL,-0.0000195581,-0.0001564646,1687258800042
SOL,-0.0000169598,-0.0001356786,1687262400013
SOL,-0.0000245042,-0.000196034,1687266000229
SOL,-0.0000243225,-0.0001945797,1687269600145
SOL,-0.0000012576,-0.0000100604,1687273200190
SOL,-0.000005693,-0.0000455438,1687276800047
SOL,-0.0000119851,-0.0000958805,1687280400132
SOL,0.0000274732,0.0002197856,1687284000070
SOL,0.0000340522,0.0002724175,1687287600209
SOL,0.0000128906,0.0001031252,1687291200245
SOL,0.0000002386,0.0000019089,1687294800113
SOL,-0.0000068512,-0.0000548092,1687298400151
SOL,-0.0000002692,-0.0000021539,1687302000177
SOL,-0.0000190005,-0.0001520039,1687305600122
SOL,-0.0000049341,-0.0000394724,1687309200106
SOL,0.0000557068,0.0004456547,1687312800144
SOL,0.0000212067,0.0001696536,1687316400023
SOL,0.000036084,0.0002886722,1687320000025
SOL,0.000031472,0.0002517757,1687323600054
SOL,0.0000128962,0.0001031697,1687327200072
SOL,0.000004397,0.0000351764,1687330800064
SOL,-0.0000158162,-0.0001265293,1687334400010
SOL,-0.0000063383,-0.0000507066,1687338000167
SOL,-0.0000079873,-0.0000638985,1687341600146
SOL,0.0000008431,0.0000067447,1687345200035
SOL,0.0000091645,0.0000733163,1687348800807
SOL,-0.0000012482,-0.0000099853,1687352400137
SOL,0.0000125576,0.0001004604,1687356000049
SOL,0.0000059829,0.0000478636,1687359600006
SOL,0.0000009409,0.0000075274,1687363200103
SOL,0.0000421675,0.0003373396,1687366800070
SOL,0.0000324412,0.0002595294,1687370400158
SOL,-0.0000051558,-0.0000412466,1687374000202
