date,apy24h,volume24hUsd,feesAndRewards24hUsd,cumulativeFeesAndRewardsUsd,stakingYieldA,stakingYieldB
2023-06-22T00:00:00.000Z,0.021649168204749504504006424475541369859,36509.5026553228,3.3041099903,4.1755666023,,
2023-06-22T01:00:00.000Z,0.020652821350984368562727227837678227011,35167.903721758,3.1826952868,4.2530504447,,
2023-06-22T02:00:00.000Z,0.024064188930389263880168726240469955641,44127.9818772833,3.9935823599,5.0639375177,,
2023-06-22T03:00:00.000Z,0.021831371319100234514229817350551369024,41014.173717829,3.7117827215,5.1985148528,,
2023-06-22T04:00:00.000Z,0.022916517170863203537058498054741190182,43842.5111389013,3.9677472581,5.4544793894,,
2023-06-22T05:00:00.000Z,0.020285655894749176885539769588493459018,39513.6297379955,3.5759834913,5.4550374205,,
2023-06-22T06:00:00.000Z,0.019849289372243566355534998826246497993,38797.0496063664,3.5111329894,5.4557366297,,
2023-06-22T07:00:00.000Z,0.018942176740553687956950776578592738568,37419.5429217709,3.3864686344,5.4861595227,,
2023-06-22T08:00:00.000Z,0.019029767933527905865595613327943095819,37646.2783200216,3.406988188,5.5066796175,,
2023-06-22T09:00:00.000Z,0.018928111656760852647742145094168893679,37478.3274914851,3.391788638,5.5066796175,,
2023-06-22T10:00:00.000Z,0.017856217621212345342623075048268898059,35709.4735641593,3.2317073576,5.5066796175,,
2023-06-22T11:00:00.000Z,0.023529649429746544660688197805229239442,50114.172560694,4.5353326167,6.8103048767,,
2023-06-22T12:00:00.000Z,0.023773134957365494304340301669446711984,50958.7743734049,4.6117690808,6.924795387,,
2023-06-22T13:00:00.000Z,0.022497957621923256828165043959697299069,48942.3842602955,4.4292857756,6.9398348986,,
2023-06-22T14:00:00.000Z,0.025024561185413607317441994235877586202,55917.0171763777,5.0604900545,7.6693093317,,
2023-06-22T15:00:00.000Z,0.023644583863878854729824692822890513726,54097.9864076027,4.8958677699,7.7918053594,,
2023-06-22T16:00:00.000Z,0.021246730758836513856245167014468799009,50236.8631197841,4.5464361123,7.8313919235,,
2023-06-22T17:00:00.000Z,0.02098997533748892020270109924071630336,52743.6193257332,4.773297549,8.6015382068,,
2023-06-22T18:00:00.000Z,0.020016676837526101961868282572304348338,51112.6134584937,4.625691518,8.6015382068,,
2023-06-22T19:00:00.000Z,0.019908857385105543439923066801292910021,51269.9086564615,4.6399267334,8.6927815378,,
2023-06-22T20:00:00.000Z,0.020127961155638005115999836803089421067,51967.4382946797,4.7030531657,8.7787515301,,
2023-06-22T21:00:00.000Z,0.020199386737565724190743562642489874807,52271.8391694472,4.7306014448,8.8291520604,,
2023-06-22T22:00:00.000Z,0.020735287101133039888520559864974318761,53610.703709792,4.8517686857,8.9503193013,,
2023-06-22T23:00:00.000Z,0.021513539964493743623599458296668336869,55548.2582123525,5.0271173682,9.1256679837,,
2023-06-23T00:00:00.000Z,0.022175036079777854602875144175527686981,57161.6137865065,5.1731260477,9.34869265,,
2023-06-23T01:00:00.000Z,0.021973943107513825427386835078824917702,56619.6192949765,5.1240755462,9.3771259908,,
2023-06-23T02:00:00.000Z,0.018897065587957437146909140401891411793,48475.5336340755,4.3870357939,9.4509733116,,
2023-06-23T03:00:00.000Z,0.018398285841373920993715888093687269877,47157.0127151425,4.2677096507,9.4662245035,,
2023-06-23T04:00:00.000Z,0.017317919992584015319084683987058424909,44328.6752940702,4.0117451141,9.4662245035,,
2023-06-23T05:00:00.000Z,0.017315563485128228619184825308931721009,44322.5092043639,4.011187083,9.4662245035,,
2023-06-23T06:00:00.000Z,0.018703945950187102267013103772731290673,47819.2727356522,4.3276441826,9.7833808123,,
2023-06-23T07:00:00.000Z,0.018573712172160844332398171620408580111,47483.1081726619,4.2972212896,9.7833808123,,
2023-06-23T08:00:00.000Z,0.018486156439550713800993691763715146066,47256.3667932378,4.2767011948,9.7833808123,,
2023-06-23T09:00:00.000Z,0.018486156439550713800993691763715146066,47256.3667932378,4.2767011948,9.7833808123,,
2023-06-23T10:00:00.000Z,0.018922227262674008509943387097685582878,48343.6200466286,4.3750976142,9.8817772317,,
2023-06-23T11:00:00.000Z,0.013274264807369127764443118622746157691,33938.9210500939,3.071472355,9.8817772317,,
2023-06-23T12:00:00.000Z,0.01288156123592066470771928779769810734,32925.991102751,2.9798021948,9.9045975818,,
2023-06-23T13:00:00.000Z,0.013527418916558684659830772087290333204,34513.1221997132,3.1234375591,10.0632724577,,
2023-06-23T14:00:00.000Z,0.010487593263735813809910135816528904729,26730.1623383623,2.4190796916,10.0883890233,,
2023-06-23T15:00:00.000Z,0.011110679610342726509970672365998718396,28291.8677750681,2.5604140336,10.3522193931,,
2023-06-23T16:00:00.000Z,0.018162547752280672024748530748604545028,46359.0976406998,4.1954983365,12.0268902599,,
2023-06-23T17:00:00.000Z,0.015169954378467302198750741865922721976,38748.667142511,3.5067543764,12.1082925832,,
2023-06-23T18:00:00.000Z,0.017267224738948643831590081075251372269,44108.7077403935,3.9918380505,12.5933762573,,
2023-06-23T19:00:00.000Z,0.017831025535918222778915225857391150768,45556.6512480579,4.1228769379,12.8156584758,,
2023-06-23T20:00:00.000Z,0.017766884278516090187870883478584390691,45392.2381813389,4.1079975554,12.8867490855,,
2023-06-23T21:00:00.000Z,0.020323139630330381091200711204303409645,52022.3483571224,4.7080225263,13.5371745867,,
2023-06-23T22:00:00.000Z,0.019940645137429839345818540093298555748,51073.6521861765,4.6221655228,13.5724848241,,
2023-06-23T23:00:00.000Z,0.019163587323315175948627985827081029138,49136.0976836161,4.4468168404,13.5724848241,,
2023-06-24T00:00:00.000Z,0.018176750392973646855933602051602144115,46673.4133366706,4.223943907,13.572636557,,
2023-06-24T01:00:00.000Z,0.018114338760577686577481317511354971135,46523.6654861186,4.2103917265,13.5875177173,,
2023-06-24T02:00:00.000Z,0.017882152842114233010753623176426909921,45955.5911039379,4.1589809949,13.6099543065,,
2023-06-24T03:00:00.000Z,0.018296875739949363378688634114973787283,47048.1277330706,4.2578555598,13.7240800633,,
2023-06-24T04:00:00.000Z,0.018296875739949363378688634114973787283,47048.1277330706,4.2578555598,13.7240800633,,
2023-06-24T05:00:00.000Z,0.01854044260586527740144605546717752648,47678.5310080462,4.3149070562,13.7811315597,,
2023-06-24T06:00:00.000Z,0.017214271820089491469420035192186967908,44342.0839291549,4.0129585956,13.7963394079,,
2023-06-24T07:00:00.000Z,0.017574196918454663171146881351642414255,45269.2380005033,4.096866039,13.8802468513,,
2023-06-24T08:00:00.000Z,0.01770585832576640355595665371855520511,45607.6731780593,4.1274944226,13.9108752349,,
2023-06-24T09:00:00.000Z,0.01770585832576640355595665371855520511,45607.6731780593,4.1274944226,13.9108752349,,
2023-06-24T10:00:00.000Z,0.017270306650180606218844261815841883766,44520.4199246686,4.0290980032,13.9108752349,,
2023-06-24T11:00:00.000Z,0.017335342458859302012719856777729660014,44688.3149280402,4.044292501,13.9260697327,,
2023-06-24T12:00:00.000Z,0.018075015313575798012308205746262293841,46620.8984791726,4.2191913124,14.1237888941,,
2023-06-24T13:00:00.000Z,0.017361264339306568277206053772565607336,44867.5849326182,4.0605164364,14.1237888941,,
2023-06-24T14:00:00.000Z,0.017247544500107005526719741175351256085,44590.0538212292,4.0353998708,14.1237888941,,
2023-06-24T15:00:00.000Z,0.01648560673184315916649378568200906878,42690.4095879976,3.8634820677,14.2157014608,,
2023-06-24T16:00:00.000Z,0.009279943986027616838613952339689553114,24199.7173251357,2.1900744179,14.2169646779,,
2023-06-24T17:00:00.000Z,0.008939542378122594858674692876470948647,23321.8510679608,2.1106275217,14.2189201048,,
